CustomerID,Recency_Asli,Frequency_Asli,Monetary_Asli,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN,Recency_scaled,Frequency_scaled,Monetary_scaled
12346,326,1,77183.6,2,0,-1,1.4619928068665424,-0.9552142636712971,3.7062247576371363
12347,2,7,4310.0,1,1,0,-2.0387344178427855,1.0744251947249353,1.4118434139658396
12348,75,4,1797.24,2,0,0,0.37310423556778083,0.3863044476016776,0.7164888970385849
12349,19,1,1757.55,0,1,-1,-0.6230859205766931,-0.9552142636712971,0.6987393956420775
12350,310,1,334.4,3,3,1,1.4245575339360348,-0.9552142636712971,-0.6189621995772402
12352,36,8,2506.04,2,1,0,-0.16402870097223204,1.2468684386726128,0.9807530389309995
12353,204,1,89.0,3,3,1,1.1135502505032524,-0.9552142636712971,-1.6651527513281688
12354,232,1,1079.4,3,0,1,1.2090862834765006,-0.9552142636712971,0.3113164548768808
12355,214,1,459.4,3,3,1,1.1490907416248033,-0.9552142636712971,-0.36704268534959555
12356,23,3,2811.43,2,1,0,-0.4870358868672529,0.05960546552681911,1.072166366005457
12357,33,1,6207.67,2,0,-1,-0.22712620679597337,-0.9552142636712971,1.7019399059577833
12358,2,2,1168.06,0,1,2,-2.0387344178427855,-0.36158277709840037,0.37403843277933535
12359,58,4,6372.58,2,1,0,0.1841671134665053,0.3863044476016776,1.7227876375624651
12360,52,3,2662.06,2,1,0,0.10413950578058002,0.05960546552681911,1.0287659978857018
12361,287,1,189.9,3,3,1,1.3672244617898772,-0.9552142636712971,-1.067156470331932
12362,3,10,5226.23,1,1,0,-1.8240633918658722,1.5406654655354899,1.5651014053126442
12363,110,2,552.0,3,0,2,0.6557659603678762,-0.36158277709840037,-0.22129943482556674
12364,8,4,1313.1,0,1,0,-1.2189397565026774,0.3863044476016776,0.46704700202031074
12365,291,2,641.38,3,0,2,1.377517166470927,-0.36158277709840037,-0.1021502899670142
12367,4,1,168.9,0,0,1,-1.6575516078937147,-0.9552142636712971,-1.159837140090883
12370,51,4,3545.69,2,1,0,0.08992556633514363,0.3863044476016776,1.256642164456396
12371,45,2,1887.96,2,0,2,-0.0015614215275583125,-0.36158277709840037,0.755630558813062
12372,72,3,1298.04,2,0,0,0.34305147915390505,0.05960546552681911,0.4578803159556508
12373,311,1,364.6,3,3,1,1.4269530713337628,-0.9552142636712971,-0.5503971048155197
12374,25,1,742.9300000000001,0,0,1,-0.4273072773233673,-0.9552142636712971,0.014569212366769146
12375,11,2,457.5,0,0,2,-1.0042687305257638,-0.36158277709840037,-0.3703314380988366
12377,315,2,1628.12,2,0,2,1.4364590503135464,-0.36158277709840037,0.6379412185868837
12378,130,1,4008.62,2,0,-1,0.7793883005555002,-0.9552142636712971,1.354207388002105
12379,82,2,852.24,2,0,2,0.4388506943278125,-0.36158277709840037,0.1235960626180742
12380,22,4,2724.81,2,1,0,-0.5187942651860693,0.3863044476016776,1.047287700594385
12381,5,5,1845.31,1,1,0,-1.5215015741842748,0.6532369520997158,0.7374686635736019
12383,185,5,1850.56,2,0,0,1.0409714714796316,0.6532369520997158,0.7397268157817323
12384,29,2,585.27,0,0,2,-0.3205241028950956,-0.36158277709840037,-0.17483775605902452
12386,338,2,401.9,3,3,2,1.4888861411471739,-0.36158277709840037,-0.47313765791452395
12388,16,6,2780.66,1,1,0,-0.7443590504544844,0.8789251688960832,1.0634175822381529
12390,80,1,549.84,3,0,1,0.4206495661775393,-0.9552142636712971,-0.22441182068610765
12391,22,1,460.89,0,0,1,-0.5187942651860693,-0.9552142636712971,-0.36447309198428984
12393,72,4,1582.6000000000001,2,0,0,0.34305147915390505,0.3863044476016776,0.615403824615098
12394,64,2,1272.48,2,0,2,0.25643735030730064,-0.36158277709840037,0.44207651187206687
12395,19,12,3018.63,1,2,0,-0.6230859205766931,1.7852452398084835,1.1286985610690166
12397,36,2,2409.9,2,1,2,-0.16402870097223204,-0.36158277709840037,0.9496558251186266
12398,46,1,1635.6599999999999,2,0,1,0.014486707924192927,-0.9552142636712971,0.6416134534410843
12399,119,4,1108.65,2,0,0,0.713941584421926,0.3863044476016776,0.3325607791120429
12401,303,1,84.3,3,3,1,1.4075699228848029,-0.9552142636712971,-1.707807294273016
12402,323,1,225.6,3,3,1,1.4551152534945606,-0.9552142636712971,-0.9308178639629089
12403,50,1,427.7,3,0,1,0.07543561088562381,-0.9552142636712971,-0.4237759840244887
12405,149,1,1710.39,2,0,1,0.8804533683940834,-0.9552142636712971,0.6771209816468954
12406,22,2,3415.3,2,1,2,-0.5187942651860693,-0.36158277709840037,1.226853945195335
12407,50,5,1708.1200000000001,2,0,0,0.07543561088562381,0.6532369520997158,0.6760654279957418
12408,33,5,2888.55,2,1,0,-0.22712620679597337,0.6532369520997158,1.0936799650762783
12409,79,3,11072.67,2,1,-1,0.4113797667403285,0.05960546552681911,2.162102529221574
12410,309,2,693.3299999999999,3,0,2,1.4221542814287025,-0.36158277709840037,-0.040304177044463416
12412,75,3,1226.88,2,0,0,0.37310423556778083,0.05960546552681911,0.4130775790891964
12413,67,3,758.1,2,0,0,0.2901066368625376,0.05960546552681911,0.030623015576599005
12414,217,3,562.41,3,3,0,1.159430989184945,0.05960546552681911,-0.20646794238648378
12415,24,21,124914.53,1,2,-1,-0.45657413660453583,2.555485194733606,4.089098373859291
12417,3,9,3649.1,1,1,0,-1.8240633918658722,1.4011241767997944,1.2794980922437462
12418,113,1,668.58,3,0,1,0.6756660532493783,-0.9552142636712971,-0.06916989886128724
12420,64,1,600.39,3,0,1,0.25643735030730064,-0.9552142636712971,-0.1545875996621648
12421,16,4,807.04,0,1,0,-0.7443590504544844,0.3863044476016776,0.08031000296181638
12422,96,3,803.5600000000001,2,0,0,0.5551626080798789,0.05960546552681911,0.07687759802100734
12423,1,8,1859.31,1,1,0,-2.341296235524383,1.2468684386726128,0.7434762121608898
12424,163,2,1760.96,2,0,2,0.947038466531095,-0.36158277709840037,0.7002800108774175
12425,78,1,777.2,3,0,1,0.4019933629965244,-0.9552142636712971,0.050385536557672
12426,195,1,582.73,3,3,1,1.0800489471232713,-0.9552142636712971,-0.17829073391283512
12427,22,3,825.8,0,1,0,-0.5187942651860693,0.05960546552681911,0.09856248367486417
12428,26,9,7956.46,1,1,0,-0.3991450951625692,1.4011241767997944,1.8992969152172443
12429,9,4,3750.4,1,1,0,-1.1403187642352037,0.3863044476016776,1.301268275103472
12430,43,1,256.4,3,0,1,-0.034731738315937795,-0.9552142636712971,-0.8294645672136798
12431,36,15,6487.45,1,2,0,-0.16402870097223204,2.0892449239230517,1.7369930519054975
12432,43,5,5059.32,2,1,0,-0.034731738315937795,0.6532369520997158,1.539293440067032
12433,1,7,13375.87,1,1,-1,-2.341296235524383,1.0744251947249353,2.3123744937890036
12434,85,2,806.14,2,0,2,0.4653461139941349,-0.36158277709840037,0.07942373126175259
12435,80,2,7829.89,2,1,-1,0.4206495661775393,-0.36158277709840037,1.8865457875394949
12436,100,1,509.01,3,0,1,0.5853165797205673,-0.9552142636712971,-0.28565887932622225
12437,2,18,4951.41,1,2,0,-2.0387344178427855,2.3408466559766334,1.5221510545291004
12438,14,2,2906.85,2,1,2,-0.8377569465536066,-0.36158277709840037,1.0987006679650533
12441,367,1,173.55,3,3,1,1.5501371094479746,-0.9552142636712971,-1.1383638592446061
12442,3,1,172.06,0,0,1,-1.8240633918658722,-0.9552142636712971,-1.14518162259322
12444,21,5,5005.46,1,1,0,-0.5519645819744484,0.6532369520997158,1.5307835260656797
12445,22,1,133.4,0,0,1,-0.5187942651860693,-0.9552142636712971,-1.346240441148535
12446,58,1,1002.3100000000001,3,0,1,0.1841671134665053,-0.9552142636712971,0.25244506503585584
12447,243,1,476.49,3,3,1,1.2435087462334857,-0.9552142636712971,-0.3380570057913547
12448,44,1,449.45,3,0,1,-0.01796228521349842,-0.9552142636712971,-0.38441824291822546
12449,22,4,4067.29,2,1,0,-0.5187942651860693,0.3863044476016776,1.3657597282233311
12450,156,2,197.88,3,3,2,0.9144883541766984,-0.36158277709840037,-1.0345886056659306
12451,11,5,9035.52,1,1,-1,-1.0042687305257638,0.6532369520997158,2.000427014737319
12452,17,2,430.57,0,0,2,-0.7017069128441668,-0.36158277709840037,-0.4184696573179272
12453,134,1,707.09,3,0,1,0.8018323761266101,-0.9552142636712971,-0.024697892183045876
12454,56,1,3528.34,2,0,1,0.1584332095908674,-0.9552142636712971,1.2527422422884857
12455,73,6,2466.86,2,0,0,0.35320414268627925,0.8789251688960832,0.9682264071623882
12456,44,3,3181.04,2,1,0,-0.01796228521349842,0.05960546552681911,1.170361382834635
12457,66,7,2363.23,2,0,0,0.27905148268373375,1.0744251947249353,0.9341100748765044
12458,71,2,947.4,2,0,2,0.33275877447285523,-0.36158277709840037,0.20768445070504069
12461,94,2,826.88,2,0,2,0.5396160195399382,-0.36158277709840037,0.0996006215961298
12462,19,2,1189.59,0,1,2,-0.6230859205766931,-0.36158277709840037,0.3885513175762943
12463,53,4,1344.78,2,0,0,0.11808774849594178,0.3863044476016776,0.4859917539016403
12464,10,8,1212.05,1,1,0,-1.0691974256329595,1.2468684386726128,0.4034140351554218
12465,17,2,742.1899999999999,0,0,2,-0.7017069128441668,-0.36158277709840037,0.013777748674131559
12468,188,2,729.5400000000001,3,0,2,1.0529110743320027,-0.36158277709840037,0.00012473505372667906
12471,2,30,19824.05,1,2,0,-2.0387344178427855,3.057582165231702,2.625249451475796
12472,32,7,6572.11,1,1,0,-0.24940276429285124,1.0744251947249353,1.7473024794817706
12473,29,5,3938.5499999999997,2,1,0,-0.3205241028950956,0.6532369520997158,1.340186780327252
12474,17,18,7375.79,1,2,0,-0.7017069128441668,2.3408466559766334,1.8390382066514455
12475,54,1,723.38,3,0,1,0.13178004565621987,-0.9552142636712971,-0.006609518266952898
12476,16,11,6816.42,1,2,0,-0.7443590504544844,1.6680566812978321,1.7763251204199106
12477,23,6,13219.74,1,1,-1,-0.4870358868672529,0.8789251688960832,2.303037781199948
12478,4,1,680.99,0,0,1,-1.6575516078937147,-0.9552142636712971,-0.054565264145496
12479,11,1,527.2,0,0,1,-1.0042687305257638,-0.9552142636712971,-0.2577888650316912
12480,28,4,3281.63,2,1,0,-0.3458217546340572,0.3863044476016776,1.1951121552306176
12481,23,10,5596.32,1,2,0,-0.4870358868672529,1.5406654655354899,1.6195030542610644
12483,17,8,2484.98,1,1,0,-0.7017069128441668,1.2468684386726128,0.9740442690940077
12484,33,6,4541.72,2,1,0,-0.22712620679597337,0.8789251688960832,1.4534806777894849
12488,10,3,1298.66,0,1,0,-1.0691974256329595,0.05960546552681911,0.45825978889134167
12489,336,1,334.93,3,3,1,1.4844706888644472,-0.9552142636712971,-0.6177065016987459
12490,5,10,5417.93,1,1,0,-1.5215015741842748,1.5406654655354899,1.5937445913712531
12491,39,1,460.40000000000003,0,0,1,-0.10585307691818215,-0.9552142636712971,-0.3653172101465962
12492,63,2,263.21000000000004,3,0,2,0.24486798276817118,-0.36158277709840037,-0.8086976928182107
12493,166,2,433.74,3,0,2,0.9605652887470136,-0.36158277709840037,-0.412649521374035
12494,16,7,1246.1000000000001,2,1,0,-0.7443590504544844,1.0744251947249353,0.42542953337821776
12497,82,1,1043.1,3,0,1,0.4388506943278125,-0.9552142636712971,0.28413720828063066
12498,21,3,403.70000000000005,0,0,0,-0.5519645819744484,0.05960546552681911,-0.46959260950751985
12500,23,11,4257.82,1,2,0,-0.4870358868672529,1.6680566812978321,1.4021587847626487
12501,337,1,2169.39,3,0,1,1.4866816808776484,-0.9552142636712971,0.8660781916160282
12502,96,5,3723.87,2,1,0,0.5551626080798789,0.6532369520997158,1.295624114649832
12504,18,2,482.04999999999995,0,0,2,-0.6613614517492411,-0.36158277709840037,-0.3288501902341635
12506,233,1,73.5,3,3,1,1.2122820453568492,-0.9552142636712971,-1.8154673959365322
